date,total_reported_admissions_and_diagnoses,occupied_covid_beds_0800
2020-08-01,50,879
2020-08-02,57,847
2020-08-03,74,842
2020-08-04,58,807
2020-08-05,60,805
2020-08-06,52,756
2020-08-07,60,711
2020-08-08,78,650
2020-08-09,53,611
2020-08-10,50,714
2020-08-11,63,672
2020-08-12,51,642
2020-08-13,60,652
2020-08-14,55,642
2020-08-15,38,630
2020-08-16,39,634
2020-08-17,46,626
2020-08-18,56,597
2020-08-19,58,571
2020-08-20,45,551
2020-08-21,49,528
2020-08-22,25,594
2020-08-23,44,522
2020-08-24,41,522
2020-08-25,60,500
2020-08-26,52,485
2020-08-27,69,492
2020-08-28,44,469
2020-08-29,52,478
2020-08-30,38,479
2020-08-31,52,495
2020-09-01,58,496
2020-09-02,79,451
2020-09-03,69,468
2020-09-04,67,474
2020-09-05,94,471
2020-09-06,85,483
2020-09-07,84,555
2020-09-08,99,535
2020-09-09,136,557
2020-09-10,143,572
2020-09-11,135,622
2020-09-12,143,663
2020-09-13,153,691
2020-09-14,172,812
2020-09-15,194,891
2020-09-16,183,929
2020-09-17,199,984
2020-09-18,205,1020
2020-09-19,204,1081
2020-09-20,237,1174
2020-09-21,275,1299
2020-09-22,268,1378
2020-09-23,314,1439
2020-09-24,288,1546
2020-09-25,274,1686
2020-09-26,245,1689
2020-09-27,241,1793
2020-09-28,308,1955
2020-09-29,310,1954
2020-09-30,328,2036
2020-10-01,368,2069
2020-10-02,371,2180
2020-10-03,386,2290
2020-10-04,478,2435
2020-10-05,472,2705
2020-10-06,524,2903
2020-10-07,491,3066
2020-10-08,513,3179
2020-10-09,544,3238
2020-10-10,515,3369
2020-10-11,628,3604
2020-10-12,664,3827
2020-10-13,764,4105
2020-10-14,706,4313
2020-10-15,792,4569
2020-10-16,632,4854
2020-10-17,785,5029
2020-10-18,870,5202
2020-10-19,861,5644
2020-10-20,925,6072
2020-10-21,997,6271
2020-10-22,987,6345
2020-10-23,997,6842
2020-10-24,990,7176
2020-10-25,1186,7612
2020-10-26,1279,7856
2020-10-27,1190,8595
2020-10-28,1239,9070
2020-10-29,1345,9127
2020-10-30,1109,9295
2020-10-31,1240,9782
2020-11-01,1280,9623
2020-11-02,1331,10397
2020-11-03,1246,10971
2020-11-04,1382,11037
2020-11-05,1346,10994
2020-11-06,1182,11181
2020-11-07,1319,11514
2020-11-08,1488,11680
2020-11-09,1551,12259
2020-11-10,1592,12033
2020-11-11,1711,12730
2020-11-12,1666,12967
2020-11-13,1433,13328
2020-11-14,1388,13399
2020-11-15,1467,13886
2020-11-16,1560,14313
2020-11-17,1491,14411
2020-11-18,1571,14490
2020-11-19,1484,14479
2020-11-20,1316,14236
2020-11-21,1255,14118
2020-11-22,1333,14354
2020-11-23,1385,14712
2020-11-24,1277,14506
2020-11-25,1415,14240
2020-11-26,1198,13908
2020-11-27,1055,13754
2020-11-28,1065,13208
2020-11-29,1215,13521
2020-11-30,1216,13756
2020-12-01,1271,13507
2020-12-02,1262,13212
2020-12-03,1337,12896
2020-12-04,1248,12987
2020-12-05,1186,12968
2020-12-06,1311,13189
2020-12-07,1466,13616
2020-12-08,1528,13629
2020-12-09,1550,13467
2020-12-10,1524,13796
2020-12-11,1450,13901
2020-12-12,1587,13927
2020-12-13,1581,14460
2020-12-14,1746,15053
2020-12-15,1730,15031
2020-12-16,1796,15465
2020-12-17,1873,15741
2020-12-18,1672,15866
2020-12-19,1812,16183
2020-12-20,1976,16633
2020-12-21,2115,17709
2020-12-22,2203,18063
2020-12-23,1980,17834
2020-12-24,1795,18227
2020-12-25,1952,17701
2020-12-26,2298,18350
2020-12-27,2572,19277
2020-12-28,2795,20426
2020-12-29,2886,21787
2020-12-30,2861,22713
2020-12-31,2536,22728
2021-01-01,3010,22534
2021-01-02,3145,23557
2021-01-03,3351,24957
2021-01-04,3587,26626
2021-01-05,3697,26467
2021-01-06,3967,27727
2021-01-07,3849,28246
2021-01-08,3549,29346
2021-01-09,3718,29462
2021-01-10,3571,30758
2021-01-11,3894,32070
2021-01-12,4134,32202
2021-01-13,3840,32689
2021-01-14,3678,32925
2021-01-15,3295,33362
2021-01-16,3569,32923
2021-01-17,3424,33352
2021-01-18,3711,34336
2021-01-19,3768,34015
2021-01-20,3679,33886
2021-01-21,3237,33235
2021-01-22,3016,33412
2021-01-23,2780,32614
2021-01-24,2824,32907
2021-01-25,2648,32938
2021-01-26,2799,32337
2021-01-27,2742,30846
2021-01-28,2719,30333
2021-01-29,2379,29359
2021-01-30,2193,28571
2021-01-31,2183,28112
2021-02-01,2347,28539
2021-02-02,2222,27397
2021-02-03,2096,26374
2021-02-04,1907,25334
2021-02-05,1757,24402
2021-02-06,1679,23042
2021-02-07,1675,22991
2021-02-08,1739,23020
2021-02-09,1531,22067
2021-02-10,1535,20926
2021-02-11,1440,19983
2021-02-12,1318,19009
2021-02-13,1240,17694
2021-02-14,1364,17787
2021-02-15,1322,17730
2021-02-16,1311,17093
2021-02-17,1233,16458
2021-02-18,1149,15633
2021-02-19,1068,15018
2021-02-20,904,14316
2021-02-21,1009,14142
2021-02-22,980,14137
2021-02-23,976,13511
2021-02-24,874,13007
2021-02-25,832,12449
2021-02-26,718,11781
2021-02-27,624,11090
2021-02-28,662,10663
2021-03-01,704,10765
2021-03-02,683,10121
2021-03-03,607,9594
2021-03-04,596,9092
2021-03-05,487,8594
2021-03-06,528,8021
2021-03-07,461,7812
2021-03-08,501,7847
2021-03-09,483,7451
2021-03-10,494,6975
2021-03-11,449,6687
2021-03-12,386,6391
2021-03-13,385,6072
2021-03-14,357,6039
2021-03-15,431,5976
2021-03-16,364,5664
2021-03-17,343,5397
2021-03-18,351,5083
2021-03-19,283,4841
2021-03-20,287,4589
2021-03-21,279,4492
2021-03-22,294,4501
2021-03-23,295,4245
2021-03-24,277,4005
2021-03-25,288,3763
2021-03-26,245,3712
2021-03-27,217,3676
2021-03-28,221,3438
2021-03-29,206,3466
2021-03-30,217,3283
2021-03-31,225,3084
2021-04-01,180,2928
2021-04-02,178,2784
2021-04-03,179,2677
2021-04-04,156,2672
2021-04-05,188,2680
2021-04-06,183,2588
